side	offset	instruction	type	target_index	addend
retail	20	lis r5, lbl_8024F038@ha	R_PPC_ADDR16_HA	2	0
retail	52	addi r26, r5, lbl_8024F038@l	R_PPC_ADDR16_LO	2	0
retail	64	bl fn_80158E7C	R_PPC_REL24	3	0
retail	80	bl fn_8020D318	R_PPC_REL24	4	0
retail	92	addi r3, r26, 0xb0	R_PPC_NONE	2	176
retail	96	addi r4, r26, 0xc8	R_PPC_NONE	2	200
retail	104	bl fn_80155BB0	R_PPC_REL24	5	0
retail	120	bl memset	R_PPC_REL24	6	0
retail	172	bl fn_8015B628	R_PPC_REL24	7	0
retail	192	bl fn_8015B5C8	R_PPC_REL24	8	0
retail	236	bl fn_8015B5C8	R_PPC_REL24	8	0
retail	284	bl fn_80158E84	R_PPC_REL24	9	0
retail	296	addi r3, r26, 0xb0	R_PPC_NONE	2	176
retail	300	addi r4, r26, 0xe8	R_PPC_NONE	2	232
retail	312	bl fn_80155BB0	R_PPC_REL24	5	0
retail	328	bl fn_8015B5C8	R_PPC_REL24	8	0
retail	564	bl fn_80158E84	R_PPC_REL24	9	0
retail	572	bl fn_8015B5C8	R_PPC_REL24	8	0
retail	596	bl fn_8015B5C8	R_PPC_REL24	8	0
retail	640	bl fn_8015B5C8	R_PPC_REL24	8	0
retail	656	bl fn_8015B5C8	R_PPC_REL24	8	0
retail	668	bl fn_8015B5C8	R_PPC_REL24	8	0
retail	724	bl fn_8015B5C8	R_PPC_REL24	8	0
retail	824	bl DCFlushRange	R_PPC_REL24	10	0
generated	16	bl _savegpr_22	R_PPC_REL24	11	0
generated	24	lis r5, lbl_8024F038@ha	R_PPC_ADDR16_HA	2	0
generated	56	addi r26, r5, lbl_8024F038@l	R_PPC_ADDR16_LO	2	0
generated	68	bl fn_80158E7C	R_PPC_REL24	3	0
generated	84	bl fn_8020D318	R_PPC_REL24	4	0
generated	96	addi r3, r26, 0xb0	R_PPC_NONE	2	176
generated	100	addi r4, r26, 0xc8	R_PPC_NONE	2	200
generated	108	bl fn_80155BB0	R_PPC_REL24	5	0
generated	124	bl memset	R_PPC_REL24	6	0
generated	176	bl fn_8015B628	R_PPC_REL24	7	0
generated	196	bl fn_8015B5C8	R_PPC_REL24	8	0
generated	240	bl fn_8015B5C8	R_PPC_REL24	8	0
generated	288	bl fn_80158E84	R_PPC_REL24	9	0
generated	300	addi r3, r26, 0xb0	R_PPC_NONE	2	176
generated	304	addi r4, r26, 0xe8	R_PPC_NONE	2	232
generated	316	bl fn_80155BB0	R_PPC_REL24	5	0
generated	332	bl fn_8015B5C8	R_PPC_REL24	8	0
generated	568	bl fn_80158E84	R_PPC_REL24	9	0
generated	576	bl fn_8015B5C8	R_PPC_REL24	8	0
generated	600	bl fn_8015B5C8	R_PPC_REL24	8	0
generated	644	bl fn_8015B5C8	R_PPC_REL24	8	0
generated	660	bl fn_8015B5C8	R_PPC_REL24	8	0
generated	672	bl fn_8015B5C8	R_PPC_REL24	8	0
generated	728	bl fn_8015B5C8	R_PPC_REL24	8	0
generated	828	bl DCFlushRange	R_PPC_REL24	10	0
generated	840	bl _restgpr_22	R_PPC_REL24	12	0
